Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex	Wing.length..mm.
ARS 178	Amazon	Amazonas	-2.864	ARS	16	B	2	M	2.512
ARS 180	Amazon	Amazonas	-2.864	ARS	16	B	2	M	2.724
ARS 181	Amazon	Amazonas	-2.864	ARS	16	B	3	M	2.509
ARS 182	Amazon	Amazonas	-2.864	ARS	16	B	3	F	2.575
ARS 186	Amazon	Amazonas	-2.864	ARS	16	C	1	M	2.456
ARS 188	Amazon	Amazonas	-2.864	ARS	16	C	1	F	2.385
ARS 196	Amazon	Amazonas	-2.864	ARS	16	C	3	F	2.355
ARS 246	Amazon	Amazonas	-2.864	ARS	4	A	1	F	2.766
ARS 247	Amazon	Amazonas	-2.864	ARS	4	A	1	M	2.621
ARS 251	Amazon	Amazonas	-2.864	ARS	4	A	2	M	2.692
ARS 254	Amazon	Amazonas	-2.864	ARS	4	A	2	F	2.745
ARS 255	Amazon	Amazonas	-2.864	ARS	4	A	2	F	2.659
ARS 259	Amazon	Amazonas	-2.864	ARS	4	A	3	M	2.725
ARS 261	Amazon	Amazonas	-2.864	ARS	4	B	1	M	2.576
ARS 264	Amazon	Amazonas	-2.864	ARS	4	B	1	F	2.785
ARS 265	Amazon	Amazonas	-2.864	ARS	4	B	1	F	2.547
ARS 268	Amazon	Amazonas	-2.864	ARS	4	B	2	M	2.856
ARS 269	Amazon	Amazonas	-2.864	ARS	4	B	2	M	2.836
ARS 272	Amazon	Amazonas	-2.864	ARS	4	B	3	F	2.483
ARS 276	Amazon	Amazonas	-2.864	ARS	4	C	1	F	2.345
ARS 278	Amazon	Amazonas	-2.864	ARS	4	C	1	M	2.593
ARS 282	Amazon	Amazonas	-2.864	ARS	4	C	2	F	2.439
ARS 287	Amazon	Amazonas	-2.864	ARS	4	C	3	M	2.478
ARS 294	Amazon	Amazonas	-2.864	ARS	1	A	1	M	2.787
ARS 300	Amazon	Amazonas	-2.864	ARS	1	A	2	M	2.999
ARS 303	Amazon	Amazonas	-2.864	ARS	1	A	3	F	2.715
ARS 306	Amazon	Amazonas	-2.864	ARS	1	B	1	F	2.724
ARS 313	Amazon	Amazonas	-2.864	ARS	1	B	2	M	2.495
ARS 322	Amazon	Amazonas	-2.864	ARS	1	C	1	M	2.759
ARS 325	Amazon	Amazonas	-2.864	ARS	1	C	1	F	2.551
ARS 326	Amazon	Amazonas	-2.864	ARS	1	C	2	M	2.563
ARS 332	Amazon	Amazonas	-2.864	ARS	1	C	3	M	2.417
ARS 335	Amazon	Amazonas	-2.864	ARS	1	C	3	M	2.965
ARS 343	Amazon	Amazonas	-2.864	ARS	9	A	2	F	2.779
ARS 351	Amazon	Amazonas	-2.864	ARS	9	B	1	M	2.696
ARS 353	Amazon	Amazonas	-2.864	ARS	9	B	1	F	2.697
ARS 356	Amazon	Amazonas	-2.864	ARS	9	B	2	M	2.682
ARS 362	Amazon	Amazonas	-2.864	ARS	9	B	3	F	2.319
ARS 364	Amazon	Amazonas	-2.864	ARS	9	B	3	M	2.454
ARS 369	Amazon	Amazonas	-2.864	ARS	9	C	1	F	2.537
ARS 371	Amazon	Amazonas	-2.864	ARS	9	C	2	M	2.519
ARS 372	Amazon	Amazonas	-2.864	ARS	9	C	2	F	2.443
ARS 373	Amazon	Amazonas	-2.864	ARS	9	C	2	F	2.483
ARS 378	Amazon	Amazonas	-2.864	ARS	9	C	3	F	2.321
ARS 379	Amazon	Amazonas	-2.864	ARS	9	C	3	M	2.396
ARS 384	Amazon	Amazonas	-2.864	ARS	6	A	1	M	2.725
ARS 390	Amazon	Amazonas	-2.864	ARS	6	A	2	M	2.896
ARS 391	Amazon	Amazonas	-2.864	ARS	6	A	3	F	2.725
ARS 393	Amazon	Amazonas	-2.864	ARS	6	A	3	F	2.599
ARS 400	Amazon	Amazonas	-2.864	ARS	6	B	1	M	2.681
ARS 404	Amazon	Amazonas	-2.864	ARS	6	B	2	F	2.559
ARS 413	Amazon	Amazonas	-2.864	ARS	6	C	1	M	2.566
ARS 416	Amazon	Amazonas	-2.864	ARS	6	C	2	M	2.483
ARS 417	Amazon	Amazonas	-2.864	ARS	6	C	2	F	2.523
ARS 421	Amazon	Amazonas	-2.864	ARS	6	C	3	M	2.592
ARS 422	Amazon	Amazonas	-2.864	ARS	6	C	3	M	2.576
ARS 434	Amazon	Amazonas	-2.864	ARS	13	A	2	M	2.747
ARS 436	Amazon	Amazonas	-2.864	ARS	13	A	3	M	2.76
ARS 438	Amazon	Amazonas	-2.864	ARS	13	A	3	F	2.63
ARS 449	Amazon	Amazonas	-2.864	ARS	13	B	2	F	2.663
ARS 454	Amazon	Amazonas	-2.864	ARS	13	B	3	F	2.638
ARS 456	Amazon	Amazonas	-2.864	ARS	13	C	1	M	2.397
ARS 459	Amazon	Amazonas	-2.864	ARS	13	C	1	F	2.614
ARS 462	Amazon	Amazonas	-2.864	ARS	13	C	2	F	2.269
ARS 470	Amazon	Amazonas	-2.864	ARS	13	C	3	F	2.4
ARS 516	Amazon	Amazonas	-2.864	ARS	8	A	1	M	2.709
ARS 521	Amazon	Amazonas	-2.864	ARS	8	A	2	M	2.744
ARS 523	Amazon	Amazonas	-2.864	ARS	8	A	2	F	2.703
ARS 524	Amazon	Amazonas	-2.864	ARS	8	A	2	F	2.653
