ID	Biome	State	Locality	Family	Temp_let	Sex
RPV 690	Amazon	Rondonia	RPV	42	A	M
RPV 691	Amazon	Rondonia	RPV	42	A	M
RPV 693	Amazon	Rondonia	RPV	42	A	F
RPV 706	Amazon	Rondonia	RPV	42	B	F
RPV 709	Amazon	Rondonia	RPV	42	B	F
RPV 711	Amazon	Rondonia	RPV	42	C	F
RPV 714	Amazon	Rondonia	RPV	42	C	M
RPV 717	Amazon	Rondonia	RPV	42	C	F
RPV 722	Amazon	Rondonia	RPV	42	C	F
RPV 726	Amazon	Rondonia	RPV	15	A	M
RPV 728	Amazon	Rondonia	RPV	15	A	F
RPV 729	Amazon	Rondonia	RPV	15	A	M
