ID	Latitude	Wing.length..mm.
SJU 254	-22.611	2.871
SJU 257	-22.611	2.966
SJU 265	-22.611	2.734
SJU 269	-22.611	2.601
SJU 270	-22.611	2.502
SJU 271	-22.611	2.657
SJU 279	-22.611	2.574
SJU 289	-22.611	3.192
SJU 291	-22.611	3.232
SJU 295	-22.611	2.811
SJU 296	-22.611	2.933
SJU 300	-22.611	2.752
SJU 303	-22.611	3.018
SJU 304	-22.611	2.608
SJU 305	-22.611	2.325
SJU 309	-22.611	2.499
SJU 310	-22.611	2.721
SJU 314	-22.611	2.685
SJU 315	-22.611	2.676
SJU 317	-22.611	2.903
SJU 319	-22.611	2.841
SJU 320	-22.611	2.876
SJU 321	-22.611	3.048
SJU 325	-22.611	2.936
SJU 341	-22.611	2.895
SJU 364	-22.611	2.889
SJU 366	-22.611	3.216
SJU 370	-22.611	3.05
SJU 372	-22.611	3.026
SJU 376	-22.611	3.133
SJU 379	-22.611	2.668
SJU 381	-22.611	2.812
SJU 385	-22.611	2.669
SJU 389	-22.611	2.822
SJU 390	-22.611	2.681
SJU 392	-22.611	2.705
SJU 395	-22.611	2.631
SJU 397	-22.611	2.815
SJU 411	-22.611	2.865
SJU 412	-22.611	2.647
SJU 419	-22.611	3.017
SJU 422	-22.611	3.01
SJU 423	-22.611	3.11
SJU 426	-22.611	3.04
SJU 431	-22.611	2.895
SJU 434	-22.611	2.774
SJU 439	-22.611	2.699
SJU 440	-22.611	2.778
SJU 444	-22.611	2.631
SJU 461	-22.611	3.137
SJU 465	-22.611	3.345
SJU 472	-22.611	2.783
SJU 473	-22.611	2.805
SJU 481	-22.611	2.76
SJU 485	-22.611	2.53
TLC 104	-10.7	2.674
TLC 105	-10.7	2.786
TLC 114	-10.7	2.848
TLC 119	-10.7	2.665
TLC 120	-10.7	2.789
TLC 121	-10.7	2.82
TLC 125	-10.7	2.872
TLC 129	-10.7	2.694
TLC 130	-10.7	2.607
TLC 132	-10.7	2.725
TLC 136	-10.7	2.615
TLC 137	-10.7	2.593
TLC 139	-10.7	2.49
TLC 145	-10.7	2.515
TLC 146	-10.7	2.507
TLC 150	-10.7	2.726
TLC 151	-10.7	2.851
TLC 162	-10.7	2.746
TLC 163	-10.7	2.855
TLC 166	-10.7	2.75
TLC 176	-10.7	2.668
TLC 178	-10.7	2.798
TLC 184	-10.7	2.398
TLC 185	-10.7	2.49
TLC 189	-10.7	2.587
TLC 194	-10.7	2.487
TLC 198	-10.7	2.678
TLC 206	-10.7	2.768
TLC 207	-10.7	2.644
TLC 209	-10.7	2.779
TLC 210	-10.7	2.696
TLC 214	-10.7	2.676
TLC 215	-10.7	2.48
TLC 218	-10.7	2.62
TLC 219	-10.7	2.827
TLC 226	-10.7	2.689
TLC 229	-10.7	2.399
TLC 231	-10.7	2.464
TLC 234	-10.7	2.449
TLC 237	-10.7	2.507
TLC 239	-10.7	2.68
TLC 242	-10.7	2.924
TLC 244	-10.7	2.544
TLC 245	-10.7	2.594
TLC 248	-10.7	2.917
TLC 249	-10.7	2.572
TLC 253	-10.7	2.794
TLC 256	-10.7	2.599
TLC 257	-10.7	2.609
TLC 260	-10.7	2.536
TLC 262	-10.7	2.847
TLC 267	-10.7	2.617
TLC 271	-10.7	2.699
TLC 275	-10.7	2.305
TLC 276	-10.7	2.512
TLC 281	-10.7	2.475
TLC 283	-10.7	2.595
TLC 284	-10.7	3.104
TLC 285	-10.7	2.767
TLC 286	-10.7	2.82
TLC 295	-10.7	2.868
TLC 296	-10.7	2.865
TLC 302	-10.7	2.729
TLC 304	-10.7	2.703
TLC 307	-10.7	2.698
TLC 311	-10.7	3.004
TLC 316	-10.7	2.651
TLC 324	-10.7	2.495
TLC 327	-10.7	2.583
TLC 332	-10.7	2.733
TLC 333	-10.7	2.884
TLC 334	-10.7	2.759
TLC 335	-10.7	2.713
TLC 338	-10.7	3.059
TLC 340	-10.7	2.742
TLC 341	-10.7	2.663
TLC 342	-10.7	2.933
TLC 346	-10.7	2.837
TLC 347	-10.7	2.744
TLC 348	-10.7	2.891
TLC 349	-10.7	2.678
TLC 352	-10.7	2.72
TLC 356	-10.7	2.683
TLC 359	-10.7	2.532
TLC 360	-10.7	2.375
TLC 379	-10.7	2.731
TLC 381	-10.7	2.705
TLC 382	-10.7	2.696
TLC 383	-10.7	3.032
TLC 384	-10.7	2.678
TLC 391	-10.7	2.609
TLC 393	-10.7	2.84
TLC 394	-10.7	2.578
TLC 396	-10.7	2.645
TLC 399	-10.7	2.891
TLC 404	-10.7	2.427
TLC 405	-10.7	2.388
TLC 406	-10.7	2.553
TLC 407	-10.7	2.734
TLC 409	-10.7	2.409
TLC 410	-10.7	2.55
TLC 413	-10.7	2.881
TLC 415	-10.7	2.641
TLC 426	-10.7	2.738
TLC 427	-10.7	2.926
TLC 428	-10.7	2.86
TLC 431	-10.7	2.695
TLC 440	-10.7	2.609
TLC 441	-10.7	2.715
TLC 443	-10.7	2.668
TLC 444	-10.7	2.532
TLC 450	-10.7	2.586
TLC 451	-10.7	2.549
TLC 454	-10.7	2.519
TLC 456	-10.7	2.68
TLC 457	-10.7	2.691
TLC 459	-10.7	2.545
TLC 460	-10.7	2.641
TLC 461	-10.7	2.711
TLC 462	-10.7	2.607
TPN 021	-10.796	2.694
TPN 022	-10.796	2.558
TPN 023	-10.796	2.693
TPN 026	-10.796	2.899
TPN 027	-10.796	2.92
TPN 028	-10.796	2.815
TPN 032	-10.796	2.689
TPN 033	-10.796	2.746
TPN 034	-10.796	2.879
TPN 036	-10.796	2.759
TPN 038	-10.796	2.623
TPN 040	-10.796	2.681
TPN 041	-10.796	2.765
TPN 042	-10.796	2.702
TPN 043	-10.796	2.826
TPN 044	-10.796	2.921
TPN 046	-10.796	2.585
TPN 049	-10.796	3.007
TPN 051	-10.796	2.608
TPN 053	-10.796	2.951
TPN 059	-10.796	2.737
TPN 060	-10.796	2.907
TPN 066	-10.796	2.972
TPN 067	-10.796	2.888
TPN 068	-10.796	2.921
TPN 069	-10.796	3.034
TPN 076	-10.796	2.89
TPN 077	-10.796	2.734
TPN 079	-10.796	2.952
TPN 082	-10.796	2.846
TPN 086	-10.796	2.59
TPN 087	-10.796	2.802
TPN 088	-10.796	2.75
TPN 089	-10.796	2.743
TPN 090	-10.796	2.929
TPN 091	-10.796	2.769
TPN 092	-10.796	2.769
TPN 093	-10.796	2.842
TPN 096	-10.796	2.676
TPN 097	-10.796	2.594
TPN 099	-10.796	2.634
TPN 100	-10.796	2.672
TPN 101	-10.796	2.558
TPN 102	-10.796	2.654
TPN 103	-10.796	2.772
TPN 106	-10.796	2.597
TPN 107	-10.796	2.588
TPN 108	-10.796	2.785
TPN 111	-10.796	2.683
TPN 116	-10.796	3.091
TPN 121	-10.796	2.737
TPN 122	-10.796	2.889
TPN 126	-10.796	2.61
TPN 131	-10.796	2.734
TPN 136	-10.796	2.833
TPN 137	-10.796	2.772
TPN 138	-10.796	2.968
TPN 146	-10.796	2.753
TPN 147	-10.796	2.542
TPN 148	-10.796	2.519
TPN 156	-10.796	2.908
TPN 157	-10.796	2.807
TPN 158	-10.796	2.828
TPN 161	-10.796	3.195
TPN 166	-10.796	3.016
TPN 167	-10.796	2.776
TPN 168	-10.796	2.691
TPN 171	-10.796	2.682
TPN 172	-10.796	2.884
TPN 173	-10.796	2.986
TPN 174	-10.796	2.965
TPN 176	-10.796	2.61
TPN 178	-10.796	2.719
TPN 182	-10.796	2.673
TPN 183	-10.796	2.741
TPN 187	-10.796	2.785
TPN 188	-10.796	2.607
TPN 191	-10.796	2.546
