Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
ARS 247,-2.864,4,20,1,1,2.621,846.25,2.764578221,709.21,2.316888059,,
ARS 251,-2.864,4,20,2,1,2.692,875.93,2.861538554,712.2,2.326655964,,
ARS 254,-2.864,4,20,2,0,2.745,906.8,2.962386447,785.24,2.565267241,,
ARS 255,-2.864,4,20,2,0,2.659,876.9,2.864707406,761.98,2.489280134,,
ARS 259,-2.864,4,20,3,1,2.725,876.6,2.863727349,722.4,2.359977911,,
ARS 261,-2.864,4,24,1,1,2.576,831.43,2.716163392,694.06,2.267395167,,
ARS 264,-2.864,4,24,1,0,2.785,912.36,2.980550175,790.06,2.581013494,,
ARS 265,-2.864,4,24,1,0,2.547,836.64,2.73318372,713.19,2.329890153,,
ARS 268,-2.864,4,24,2,1,2.856,925.4,3.023149998,774.01,2.52858043,,
ARS 269,-2.864,4,24,2,1,2.836,899.89,2.939812461,762.62,2.491370922,,
ARS 272,-2.864,4,24,3,0,2.483,816.2,2.666409151,706.49,2.308002207,,
ARS 276,-2.864,4,28,1,0,2.345,771.8,2.521360675,659.59,2.154786587,,
ARS 278,-2.864,4,28,1,1,2.593,834.26,2.725408599,690.56,2.255961166,,
ARS 282,-2.864,4,28,2,0,2.439,809.48,2.644455868,699.83,2.286244935,,
ARS 287,-2.864,4,28,3,1,2.478,789.62,2.579576077,655.82,2.142470534,,
ARS 294,-2.864,1,20,1,1,2.787,904.33,2.954317309,779.6,2.546842164,,
ARS 300,-2.864,1,20,2,1,2.999,965.93,3.155555736,802.97,2.623188625,,
ARS 303,-2.864,1,20,3,0,2.715,894.56,2.922400111,793.07,2.590846736,,
ARS 306,-2.864,1,24,1,0,2.724,897.4,2.931677986,772.67,2.524202841,,
ARS 313,-2.864,1,24,2,1,2.495,841.75,2.749877362,719.12,2.349262618,,
ARS 322,-2.864,1,28,1,1,2.759,907.19,2.963660522,766.34,2.503523633,,
ARS 325,-2.864,1,28,1,0,2.551,835.39,2.729100148,740.63,2.419532724,,
ARS 326,-2.864,1,28,2,1,2.563,776.12,2.5354735,651.88,2.129599115,,
ARS 332,-2.864,1,28,3,1,2.417,833.08,2.721553707,706.1,2.306728132,,
ARS 335,-2.864,1,28,3,1,2.965,827.6,2.703651328,702.95,2.296437531,,
ARS 343,-2.864,9,20,2,0,2.779,922.88,3.014917517,798.54,2.608716446,,
ARS 351,-2.864,9,24,1,1,2.696,869.01,2.8389319,741.27,2.421623513,,
ARS 353,-2.864,9,24,1,0,2.697,893.55,2.919100584,785.56,2.566312635,,
ARS 356,-2.864,9,24,2,1,2.682,862.89,2.818938731,727.18,2.37559349,,
ARS 362,-2.864,9,24,3,0,2.319,756.94,2.472815171,641.02,2.094121042,,
ARS 364,-2.864,9,24,3,1,2.454,795.62,2.599177222,663.38,2.167167977,,
ARS 369,-2.864,9,28,1,0,2.537,846.29,2.764708896,732.75,2.393789887,,
ARS 371,-2.864,9,28,2,1,2.519,825.26,2.696006881,699.03,2.283631449,,
ARS 372,-2.864,9,28,2,0,2.443,811.01,2.64945416,710.07,2.319697557,,
ARS 373,-2.864,9,28,2,0,2.483,798.08,2.607213692,686.78,2.243612444,,
ARS 378,-2.864,9,28,3,0,2.321,768.31,2.509959342,662.66,2.164815839,,
ARS 379,-2.864,9,28,3,1,2.396,951.86,3.10959105,807.7,2.638640862,,
ARS 384,-2.864,6,20,1,1,2.725,854.76,2.792379179,743.7,2.429561977,,
ARS 390,-2.864,6,20,2,1,2.896,943.21,3.081332732,805.43,2.631225095,,
ARS 391,-2.864,6,20,3,0,2.725,910.23,2.973591769,814.16,2.659744762,,
ARS 393,-2.864,6,20,3,0,2.599,860.5,2.811130942,758.62,2.478303492,,
ARS 400,-2.864,6,24,1,1,2.681,864.56,2.824394383,713.65,2.331392907,,
ARS 404,-2.864,6,24,2,0,2.559,846.56,2.765590947,748.65,2.445732922,,
ARS 413,-2.864,6,28,1,1,2.566,778.09,2.541909209,639.57,2.089384098,,
ARS 416,-2.864,6,28,2,1,2.483,838.4,2.738933389,706.04,2.306532121,,
ARS 417,-2.864,6,28,2,0,2.523,837.32,2.735405183,722.72,2.361023305,,
ARS 421,-2.864,6,28,3,1,2.592,802.65,2.622143231,676.69,2.210649851,,
ARS 422,-2.864,6,28,3,1,2.576,826.05,2.698587698,681.84,2.227474168,,
ARS 434,-2.864,13,20,2,1,2.747,898.91,2.936610941,764.28,2.496793906,,
ARS 436,-2.864,13,20,3,1,2.76,903.73,2.952357195,,0,,
ARS 438,-2.864,13,20,3,0,2.63,869.88,2.841774066,773.95,2.528384419,,
ARS 449,-2.864,13,24,2,0,2.663,881.63,2.880159642,775.68,2.534036082,,
ARS 454,-2.864,13,24,3,0,2.638,883.95,2.887738752,781.75,2.553865908,,
ARS 456,-2.864,13,28,1,1,2.397,778.05,2.541778535,669.2,2.186181088,,
