ID,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
RMO 442,1.953318944,1.692005373,2.61640213,1.541750069,3.462404817,1.554815748,3.52446679,1.62667698,3.544065307,1.678939694,3.537532468,1.757333765,3.43300704,1.848793515,3.263153219,1.950052524,3.044303103,2.051311533,2.701329041,2.16563622,2.051311533,1.953318944,2.397552014,1.884724131,2.384486336,1.829194997,2.541274479,1.832461417,2.53147522,1.744268087,2.52494238,1.678939694,2.773190273,1.62667698,2.916912737,1.855326355
RMO 491,2.07417647,1.489487355,2.769923853,1.629943399,3.560397406,2.028446595,3.570196665,2.08070931,3.576729504,2.142771283,3.550598147,2.221165354,3.455871977,2.26036239,3.266419638,2.289760166,3.018171746,2.289760166,2.603336452,2.234231033,2.021913756,1.744268087,2.368154238,1.832461417,2.387752756,1.770399444,2.551073737,1.858592774,2.577205095,1.783465122,2.600070032,1.721403149,2.88751496,1.786731542,2.936511255,2.051311533
RMO 536,2.185234738,1.750800926,2.949576933,1.816129319,3.746583325,2.087242149,3.79557962,2.162369801,3.815178137,2.230964613,3.78904678,2.312625104,3.658389995,2.374687077,3.449339138,2.423683372,3.178226308,2.456347568,2.818920148,2.459613988,2.136238443,2.038245854,2.557606577,2.07417647,2.560872996,2.012114497,2.743792496,2.07744289,2.743792496,2.005581658,2.747058916,1.927187587,3.057368781,1.963118203,3.135762853,2.217898934
RMO 539,1.669140435,1.35229773,2.34855572,1.068119222,3.237021861,0.947261695,3.312149513,0.98972515,3.367678647,1.051787124,3.387277165,1.139980454,3.299083835,1.26083798,3.132496433,1.391494766,2.907113478,1.541750069,2.557606577,1.741001667,1.789997962,1.597279203,2.162369801,1.479688096,2.142771283,1.424158962,2.309358684,1.407826864,2.286493747,1.316367114,2.25382955,1.251038721,2.551073737,1.136714034,2.727460398,1.362096989
RMO 625,2.149304122,1.747534506,2.845051505,1.685472533,3.740050486,1.852059935,3.78904678,1.910855488,3.821710977,1.972917461,3.815178137,2.054577952,3.717185548,2.129705604,3.498335433,2.227698193,3.214156924,2.289760166,2.828719407,2.3452893,2.159103381,2.041512274,2.541274479,2.021913756,2.541274479,1.956585363,2.701329041,1.98271672,2.701329041,1.907589069,2.698062621,1.829194997,3.057368781,1.80959648,3.132496433,2.07417647
RMO 671,2.342022881,1.672406855,2.943044094,1.407826864,3.740050486,1.313100695,3.805378879,1.349031311,3.844575914,1.417626123,3.844575914,1.473155257,3.772714682,1.571147846,3.635525057,1.698538212,3.423207781,1.832461417,3.125963594,1.995782399,2.456347568,1.910855488,2.773190273,1.789997962,2.750325335,1.731202408,2.910379898,1.71813673,2.88751496,1.639742658,2.864650023,1.574414266,3.152094951,1.473155257,3.259886799,1.672406855
RMO 707,2.041512274,1.280436498,2.724193978,1.391494766,3.530999629,1.737735248,3.573463084,1.80633006,3.579995924,1.881457712,3.550598147,1.946786104,3.416674942,1.995782399,3.227222603,2.021913756,2.98224113,2.018647336,2.564139416,1.98924956,2.008848078,1.53195081,2.358354979,1.62341056,2.374687077,1.548282909,2.547807318,1.62341056,2.564139416,1.558082167,2.580471514,1.486220935,2.871182862,1.554815748,2.897314219,1.786731542
RMO 708,1.62667698,1.208575266,2.240763872,1.100783418,3.090032978,1.205308847,3.145562112,1.2641044,3.184759147,1.339232052,3.188025567,1.398027605,3.083500138,1.486220935,2.926711996,1.567881426,2.70786188,1.639742658,2.322424363,1.71813673,1.662607596,1.44375748,2.018647336,1.430691802,2.015380917,1.362096989,2.181968318,1.394761186,2.172169059,1.322899953,2.162369801,1.247772302,2.469413247,1.224907364,2.645799907,1.460089578
RMO 709,1.665874016,1.98598314,2.35182214,1.979450301,3.24682112,2.214632515,3.289284576,2.279960907,3.308883094,2.358354979,3.282751736,2.43674905,3.165160629,2.505343863,3.011638906,2.570672255,2.747058916,2.609869291,2.332223622,2.639267068,1.620144141,2.263628809,2.064377211,2.296293006,2.067643631,2.224431774,2.230964613,2.276694488,2.234231033,2.188501158,2.234231033,2.113373506,2.564139416,2.146037702,2.665398425,2.410617693
RMO 712,1.822662158,1.077918481,2.479212505,1.064852802,3.286018156,1.244505882,3.33828087,1.322899953,3.34154729,1.371896248,3.321948772,1.427425382,3.230489022,1.489487355,3.041036683,1.554815748,2.79932163,1.594012783,2.44001547,1.629943399,1.80633006,1.296768596,2.237497452,1.339232052,2.250563131,1.283702918,2.443281889,1.326166373,2.43674905,1.254305141,2.443281889,1.17264465,2.678464103,1.185710329,2.70786188,1.407826864
