Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
RMO 084	Amazon	Rondonia	-9.223	RMO	26	C	2	F
RMO 085	Amazon	Rondonia	-9.223	RMO	26	C	2	M
RMO 093	Amazon	Rondonia	-9.223	RMO	33	A	1	M
RMO 098	Amazon	Rondonia	-9.223	RMO	33	A	. 2	F
RMO 099	Amazon	Rondonia	-9.223	RMO	33	A	2	F
RMO 101	Amazon	Rondonia	-9.223	RMO	33	A	3	M
RMO 106	Amazon	Rondonia	-9.223	RMO	33	B	1	M
RMO 114	Amazon	Rondonia	-9.223	RMO	33	B	2	M
RMO 118	Amazon	Rondonia	-9.223	RMO	33	B	3	F
RMO 122	Amazon	Rondonia	-9.223	RMO	33	C	1	F
RMO 148	Amazon	Rondonia	-9.223	RMO	39	A	3	F
RMO 171	Amazon	Rondonia	-9.223	RMO	39	C	2	F
RMO 178	Amazon	Rondonia	-9.223	RMO	39	C	3	F
RMO 181	Amazon	Rondonia	-9.223	RMO	41	A	1	F
RMO 187	Amazon	Rondonia	-9.223	RMO	41	A	2	F
RMO 192	Amazon	Rondonia	-9.223	RMO	41	A	3	M
RMO 194	Amazon	Rondonia	-9.223	RMO	41	A	3	M
RMO 197	Amazon	Rondonia	-9.223	RMO	41	B	1	M
RMO 198	Amazon	Rondonia	-9.223	RMO	41	B	1	M
RMO 199	Amazon	Rondonia	-9.223	RMO	41	B	1	M
RMO 205	Amazon	Rondonia	-9.223	RMO	41	B	2	F
RMO 211	Amazon	Rondonia	-9.223	RMO	41	C	1	M
RMO 216	Amazon	Rondonia	-9.223	RMO	41	C	2	M
RMO 217	Amazon	Rondonia	-9.223	RMO	41	C	2	F
RMO 219	Amazon	Rondonia	-9.223	RMO	41	C	2	M
RMO 221	Amazon	Rondonia	-9.223	RMO	41	C	3	M
RMO 226	Amazon	Rondonia	-9.223	RMO	6	A	1	M
RMO 227	Amazon	Rondonia	-9.223	RMO	6	A	1	F
RMO 231	Amazon	Rondonia	-9.223	RMO	6	A	2	F
RMO 233	Amazon	Rondonia	-9.223	RMO	6	A	2	M
RMO 241	Amazon	Rondonia	-9.223	RMO	6	B	1	F
RMO 247	Amazon	Rondonia	-9.223	RMO	6	B	2	F
RMO 258	Amazon	Rondonia	-9.223	RMO	6	C	1	F
RMO 266	Amazon	Rondonia	-9.223	RMO	6	C	3	F
RMO 273	Amazon	Rondonia	-9.223	RMO	18	A	1	M
RMO 284	Amazon	Rondonia	-9.223	RMO	18	A	3	F
RMO 286	Amazon	Rondonia	-9.223	RMO	18	B	1	M
RMO 288	Amazon	Rondonia	-9.223	RMO	18	B	1	F
RMO 308	Amazon	Rondonia	-9.223	RMO	18	C	2	F
RMO 311	Amazon	Rondonia	-9.223	RMO	18	C	3	M
RMO 312	Amazon	Rondonia	-9.223	RMO	18	C	3	M
RMO 316	Amazon	Rondonia	-9.223	RMO	24	A	1	M
RMO 322	Amazon	Rondonia	-9.223	RMO	24	A	2	F
RMO 324	Amazon	Rondonia	-9.223	RMO	24	A	2	F
RMO 327	Amazon	Rondonia	-9.223	RMO	24	A	3	M
RMO 328	Amazon	Rondonia	-9.223	RMO	24	A	3	F
RMO 331	Amazon	Rondonia	-9.223	RMO	24	B	1	M
RMO 333	Amazon	Rondonia	-9.223	RMO	24	B	1	M
RMO 335	Amazon	Rondonia	-9.223	RMO	24	B	1	M
RMO 336	Amazon	Rondonia	-9.223	RMO	24	B	2	F
RMO 338	Amazon	Rondonia	-9.223	RMO	24	B	2	M
RMO 341	Amazon	Rondonia	-9.223	RMO	24	B	3	M
RMO 344	Amazon	Rondonia	-9.223	RMO	24	B	3	F
RMO 345	Amazon	Rondonia	-9.223	RMO	24	B	3	M
RMO 348	Amazon	Rondonia	-9.223	RMO	24	C	1	F
RMO 364	Amazon	Rondonia	-9.223	RMO	27	A	1	M
RMO 368	Amazon	Rondonia	-9.223	RMO	27	A	2	M
RMO 369	Amazon	Rondonia	-9.223	RMO	27	A	2	F
RMO 391	Amazon	Rondonia	-9.223	RMO	27	C	1	F
RMO 396	Amazon	Rondonia	-9.223	RMO	27	C	2	F
RMO 403	Amazon	Rondonia	-9.223	RMO	27	C	3	M
RMO 404	Amazon	Rondonia	-9.223	RMO	27	C	3	M
RMO 411	Amazon	Rondonia	-9.223	RMO	28	A	2	M
RMO 413	Amazon	Rondonia	-9.223	RMO	28	A	2	M
RMO 414	Amazon	Rondonia	-9.223	RMO	28	A	2	M
RMO 417	Amazon	Rondonia	-9.223	RMO	28	A	3	F
RMO 423	Amazon	Rondonia	-9.223	RMO	28	B	1	M
RMO 432	Amazon	Rondonia	-9.223	RMO	28	B	3	F
RMO 442	Amazon	Rondonia	-9.223	RMO	28	C	2	M
RMO 449	Amazon	Rondonia	-9.223	RMO	28	C	3	F
RMO 458	Amazon	Rondonia	-9.223	RMO	30	A	2	M
RMO 459	Amazon	Rondonia	-9.223	RMO	30	A	2	F
RMO 472	Amazon	Rondonia	-9.223	RMO	30	B	2	M
RMO 475	Amazon	Rondonia	-9.223	RMO	30	B	2	M
RMO 476	Amazon	Rondonia	-9.223	RMO	30	B	3	M
RMO 491	Amazon	Rondonia	-9.223	RMO	30	C	3	M
RMO 499	Amazon	Rondonia	-9.223	RMO	36	A	1	F
RMO 501	Amazon	Rondonia	-9.223	RMO	36	A	2	M
