Code	Family	Wing.length..mm.	Sex binary 0=F
TLC 335	83	2.713	0
TLC 338	83	3.059	1
TLC 340	83	2.742	0
TLC 341	83	2.663	1
TLC 342	83	2.933	0
TLC 346	83	2.837	1
TLC 347	83	2.744	0
TLC 348	83	2.891	1
TLC 349	83	2.678	0
TLC 352	83	2.72	0
TLC 356	83	2.683	1
TLC 359	83	2.532	1
TLC 360	83	2.375	1
TLC 379	77	2.731	0
TLC 381	77	2.705	1
TLC 382	77	2.696	1
TLC 383	77	3.032	1
TLC 384	77	2.678	0
TLC 391	77	2.609	0
TLC 393	77	2.84	1
TLC 394	77	2.578	0
TLC 396	77	2.645	0
TLC 399	77	2.891	1
TLC 404	77	2.427	0
TLC 405	77	2.388	0
TLC 406	77	2.553	1
TLC 407	77	2.734	1
TLC 409	77	2.409	0
TLC 410	77	2.55	1
TLC 413	77	2.881	1
TLC 415	77	2.641	1
TLC 426	80	2.738	1
TLC 427	80	2.926	0
TLC 428	80	2.86	0
TLC 431	80	2.695	0
TLC 440	80	2.609	1
TLC 441	80	2.715	1
TLC 443	80	2.668	0
TLC 444	80	2.532	0
TLC 450	80	2.586	1
TLC 451	80	2.549	1
TLC 454	80	2.519	1
TLC 456	80	2.68	1
TLC 457	80	2.691	0
TLC 459	80	2.545	0
TLC 460	80	2.641	1
TLC 461	80	2.711	1
TLC 462	80	2.607	0
TPN 021	11	2.694	0
TPN 022	11	2.558	0
TPN 023	11	2.693	1
TPN 026	11	2.899	0
TPN 027	11	2.92	0
TPN 028	11	2.815	0
TPN 032	11	2.689	0
TPN 033	11	2.746	1
TPN 034	11	2.879	0
TPN 036	11	2.759	1
TPN 038	11	2.623	1
TPN 040	11	2.681	0
TPN 041	11	2.765	1
TPN 042	11	2.702	1
TPN 043	11	2.826	0
TPN 044	11	2.921	1
TPN 046	11	2.585	0
TPN 049	11	3.007	1
TPN 051	11	2.608	1
TPN 053	11	2.951	1
TPN 059	11	2.737	1
TPN 060	11	2.907	1
TPN 066	12	2.972	1
TPN 067	12	2.888	0
TPN 068	12	2.921	1
TPN 069	12	3.034	0
TPN 076	12	2.89	1
TPN 077	12	2.734	1
TPN 079	12	2.952	1
TPN 082	12	2.846	0
TPN 086	12	2.59	1
TPN 087	12	2.802	1
TPN 088	12	2.75	0
TPN 089	12	2.743	0
TPN 090	12	2.929	1
TPN 091	12	2.769	0
TPN 092	12	2.769	0
TPN 093	12	2.842	1
TPN 096	12	2.676	0
TPN 097	12	2.594	0
TPN 099	12	2.634	0
TPN 100	12	2.672	1
TPN 101	12	2.558	1
TPN 102	12	2.654	0
TPN 103	12	2.772	1
TPN 106	12	2.597	1
TPN 107	12	2.588	0
TPN 108	12	2.785	0
TPN 111	9	2.683	0
TPN 116	9	3.091	1
TPN 121	9	2.737	0
TPN 122	9	2.889	1
TPN 126	9	2.61	0
TPN 131	9	2.734	0
TPN 136	9	2.833	1
TPN 137	9	2.772	1
TPN 138	9	2.968	1
TPN 146	9	2.753	1
TPN 147	9	2.542	0
TPN 148	9	2.519	0
TPN 156	14	2.908	0
TPN 157	14	2.807	1
TPN 158	14	2.828	1
TPN 161	14	3.195	1
TPN 166	14	3.016	1
TPN 167	14	2.776	0
TPN 168	14	2.691	0
TPN 171	14	2.682	0
TPN 172	14	2.884	1
TPN 173	14	2.986	1
TPN 174	14	2.965	1
TPN 176	14	2.61	1
TPN 178	14	2.719	0
TPN 182	14	2.673	1
TPN 183	14	2.741	0
TPN 187	14	2.785	1
TPN 188	14	2.607	0
TPN 191	14	2.546	1
TPN 197	7	2.758	0
TPN 198	7	2.801	0
TPN 199	7	2.874	0
TPN 201	7	2.79	1
TPN 202	7	2.734	0
TPN 203	7	2.733	0
TPN 205	7	2.69	0
TPN 206	7	2.75	1
TPN 207	7	2.737	1
TPN 208	7	2.729	1
TPN 209	7	2.681	1
TPN 210	7	2.978	1
TPN 211	7	2.545	1
TPN 212	7	2.559	0
TPN 213	7	2.467	0
TPN 214	7	2.569	0
TPN 215	7	2.699	0
TPN 216	7	2.441	0
TPN 217	7	2.462	1
TPN 222	7	2.447	1
TPN 224	7	2.493	0
TPN 225	7	2.505	0
TPN 226	7	2.354	1
TPN 227	7	2.254	0
TPN 229	7	2.392	0
TPN 230	7	2.407	0
TPN 231	7	2.292	0
TPN 232	7	2.329	1
TPN 234	7	2.555	1
TPN 235	7	2.497	1
TPN 236	7	2.354	0
TPN 237	7	2.449	1
TPN 238	7	2.449	1
TPN 239	7	2.59	1
TPN 240	7	2.444	0
