"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"243","ARS 454","Amazon","Amazonas",-2.864,"ARS",13,"B","3","F",2.638
"244","ARS 456","Amazon","Amazonas",-2.864,"ARS",13,"C","1","M",2.397
"245","ARS 459","Amazon","Amazonas",-2.864,"ARS",13,"C","1","F",2.614
"246","ARS 462","Amazon","Amazonas",-2.864,"ARS",13,"C","2","F",2.269
"247","ARS 470","Amazon","Amazonas",-2.864,"ARS",13,"C","3","F",2.4
"248","ARS 516","Amazon","Amazonas",-2.864,"ARS",8,"A","1","M",2.709
"249","ARS 521","Amazon","Amazonas",-2.864,"ARS",8,"A","2","M",2.744
"250","ARS 523","Amazon","Amazonas",-2.864,"ARS",8,"A","2","F",2.703
"251","ARS 524","Amazon","Amazonas",-2.864,"ARS",8,"A","2","F",2.653
"252","ARS 525","Amazon","Amazonas",-2.864,"ARS",8,"A","2","F",2.892
"253","ARS 531","Amazon","Amazonas",-2.864,"ARS",8,"B","1","F",2.64
"254","ARS 533","Amazon","Amazonas",-2.864,"ARS",8,"B","1","F",2.746
"255","ARS 537","Amazon","Amazonas",-2.864,"ARS",8,"B","2","F",2.593
"256","ARS 545","Amazon","Amazonas",-2.864,"ARS",8,"B","3","F",2.708
"257","ARS 556","Amazon","Amazonas",-2.864,"ARS",8,"C","3","F",2.459
"258","ARS 559","Amazon","Amazonas",-2.864,"ARS",8,"C","3","F",2.57
"259","ARS 560","Amazon","Amazonas",-2.864,"ARS",8,"C","3","F",2.346
"260","RMO 056","Amazon","Rondonia",-9.223,"RMO",26,"A","3","M",2.732
"261","RMO 059","Amazon","Rondonia",-9.223,"RMO",26,"A","3","F",2.965
"262","RMO 062","Amazon","Rondonia",-9.223,"RMO",26,"B","1","F",2.656
"263","RMO 063","Amazon","Rondonia",-9.223,"RMO",26,"B","1","F",3.011
"264","RMO 071","Amazon","Rondonia",-9.223,"RMO",26,"B","3","M",2.683
