ID,Biome,Latitude,Locality ,State,Lat_grouple,Length.mm,13 CS unscaled,13 CS scaled,18 CS unscaled,18 CS scaled
TLC 035,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.3035,1067.924803,3.48875823,945.36,3.088356475
TLC 036,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.7652,903.9585593,2.953103865,819.12,2.675948375
TLC 037,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0995,999.4443071,3.265042204,869.35,2.840042631
TLC 038,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.949,969.6257803,3.167629323,852.06,2.783558664
TLC 039,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1266,1017.192214,3.323022087,892.41,2.915376367
TLC 040,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2706,1064.723438,3.478299828,930.4,3.039484286
TLC 041,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0708,990.2898566,3.235135917,881.21,2.878787562
TLC 043,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1514,1019.648507,3.331046446,893.74,2.919721287
TLC 044,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0644,993.2366671,3.244762728,859.05,2.806393998
TLC 046,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1791,1029.403337,3.362914088,912.86,2.982183604
TLC 047,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0887,996.9863821,3.257012513,875.73,2.860885183
TLC 048,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.9311,948.5504731,3.098779296,828.16,2.705480768
TLC 049,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2156,1043.704128,3.409632736,915.97,2.992343531
TLC 050,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2847,1055.93626,3.449593367,919.34,3.003352841
TLC 052,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2666,1054.129389,3.443690578,942.98,3.080581354
TLC 053,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.92,945.2363156,3.087952416,828,2.704958071
TLC 055,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2117,1042.239896,3.404849296,909.21,2.970259574
TLC 057,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1243,1003.149809,3.277147549,888.61,2.902962308
TLC 058,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.3289,1045.850703,3.416645288,856.05,2.796593425
TLC 070,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0691,995.9752082,3.253709152,866.21,2.829784698
TLC 071,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.6372,862.5662962,2.817881237,745.05,2.433972235
TLC 073,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.018,962.2276238,3.1434606,844,2.757227792
TLC 074,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.093,1000.622268,3.268890434,885.52,2.892867718
TLC 075,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0479,990.2187016,3.234903464,856.98,2.799631603
TLC 076,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0098,972.1317575,3.175815994,843.22,2.754679643
TLC 077,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.9512,962.4361717,3.144141896,857.82,2.802375763
TLC 078,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0767,992.573423,3.242596004,867.26,2.833214899
TLC 079,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.2936,1068.901521,3.491949029,943.98,3.083848212
TLC 080,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0055,968.9402617,3.165389832,846.05,2.76392485
TLC 081,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.0772,992.4700344,3.242258248,884.07,2.888130775
TLC 082,Cerrado,-10.7,TLC,Tocantins,Mid latitude,3.1472,1024.913054,3.348244974,897.45,2.931841329
TLC 083,Cerrado,-10.7,TLC,Tocantins,Mid latitude,2.9745,971.1273386,3.1725347,869.59,2.840826677
TPN 001,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.1544,1027.1347,3.355502774,923.15,3.015799569
TPN 002,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.0363,986.0564815,3.221306084,883.27,2.885517289
TPN 003,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.16,1023.455008,3.343481744,905.32,2.957551498
TPN 004,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.127,1013.926564,3.312353674,913.93,2.985679142
TPN 006,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.0177,981.2601788,3.205637246,874.44,2.856670936
TPN 007,Cerrado,-10.796,TPN,Tocantins,Mid latitude,2.486,825.5672176,2.697010517,753.21,2.460629793
TPN 008,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.089,1003.637308,3.278740141,894.13,2.920995362
TPN 009,Cerrado,-10.796,TPN,Tocantins,Mid latitude,2.987,967.5865296,3.160967382,866.41,2.83043807
TPN 010,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.151,1025.138265,3.348980703,908.99,2.969540865
TPN 011,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.1688,1027.470307,3.356599152,925.55,3.023640027
TPN 012,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.1923,1037.244797,3.388531021,950.66,3.10567082
TPN 013,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.099,1004.459212,3.281425182,895.61,2.925830311
TPN 014,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.005,979.716678,3.200594849,885.98,2.894370473
TPN 016,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.1378,1015.795104,3.318457927,899.26,2.937754341
TPN 017,Cerrado,-10.796,TPN,Tocantins,Mid latitude,3.0181,979.2592962,3.199100648,874.41,2.856572931
TPN 018,Cerrado,-10.796,TPN,Tocantins,Mid latitude,2.9385,953.6326498,3.115382044,850.5,2.778462366
TPN 020,Cerrado,-10.796,TPN,Tocantins,Mid latitude,2.894,933.3828467,3.049228821,827.08,2.701952562
